sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
13,256379,-1,Feature 3,2,0.030320860126396502,-0.49459108710289
13,256379,-1,Feature 4,3,0.03181966667170166,-0.4334613084793091
13,256379,-1,Feature 5,4,-0.01854730043007368,0.6287192702293396
13,256379,-1,FIS,5,-0.006740248552819155,-0.5861921906471252
13,256379,-1,Ag,6,0.00099221145534347,-0.26959386467933655
13,256379,-1,As,7,-0.007960935866903768,-0.5855392813682556
13,256379,-1,Au,8,-0.020246216879859686,-0.2674781382083893
13,256379,-1,Cu,9,0.007169270671638225,0.2962571978569031
13,256379,-1,Sb,10,0.02307123512678716,-0.5044392943382263
13,256379,-1,ΔT,11,0.015163806271298298,-0.03143462538719177
14,267593,-1,Feature 1,0,0.0688776899799861,-0.9344484210014343
14,267593,-1,Feature 2,1,-0.11666070858243784,-1.0625272989273071
14,267593,-1,Feature 3,2,0.004803322008837426,-0.7253755927085876
14,267593,-1,Feature 4,3,0.026547498013882943,-0.3258804380893707
14,267593,-1,Feature 5,4,-0.03935192928399308,1.0741393566131592
14,267593,-1,FIS,5,0.006796794478511537,-0.5861921906471252
14,267593,-1,Ag,6,-0.0026622965086741976,-0.13553552329540253
14,267593,-1,As,7,0.008095228589870756,-0.37379810214042664
14,267593,-1,Au,8,-0.045596851955776695,-0.3415381908416748
14,267593,-1,Cu,9,0.01670688807947242,0.12974002957344055
14,267593,-1,Sb,10,0.020293019770377098,-0.23424723744392395
14,267593,-1,ΔT,11,-0.05920872596598135,0.8900216221809387
15,31250,-1,Feature 1,0,-0.05820757406247535,0.6957018971443176
15,31250,-1,Feature 2,1,0.07273773042626985,1.508424997329712
15,31250,-1,Feature 3,2,-0.031658211679214975,1.398518443107605
15,31250,-1,Feature 4,3,-0.010559363536514838,1.4550882577896118
15,31250,-1,Feature 5,4,0.025588185490041798,-0.4709976017475128
15,31250,-1,FIS,5,-0.0015653171715182713,-0.5716547966003418
15,31250,-1,Ag,6,0.00016095338898945895,0.2301899641752243
15,31250,-1,As,7,-0.01456394892241485,0.6278578042984009
15,31250,-1,Au,8,-0.00509231856030593,-0.2113417237997055
15,31250,-1,Cu,9,-0.06305479458189431,3.1387109756469727
15,31250,-1,Sb,10,-0.0019250472076399166,0.372809499502182
15,31250,-1,ΔT,11,-0.0060113222362446934,0.8327962756156921
16,294247,-1,Feature 1,0,-0.003333977836980591,-0.011363386176526546
16,294247,-1,Feature 2,1,0.02139990457925908,1.8165991306304932
16,294247,-1,Feature 3,2,-0.05822064212011648,2.1866090297698975
16,294247,-1,Feature 4,3,-0.023729702976100754,2.2663753032684326
